benchmark,time,kwh,watts,cycles,instructions,r533f00,cache-references,cache-misses
blackscholes,439,0.0405,333.007061503,963681322941,759844691381,440277963193,165728320541,140040400
bodytrack,345,0.0325,339.41884058,733091005874,781067817081,405865777512,127287608572,245673468
facesim,0.0,0.0,0.0,16560559,14789833,1693208,4697405,74581
ferret,522,0.0507,350.532950192,1588471176139,1748909071671,508858865217,567858426857,100044775
fluidanimate,650,0.0608,337.591076923,1433302012584,1677896998422,1002609778300,484568539692,21997404
freqmine,849,0.0806,342.344051826,1848878873062,2450052339453,49431788,791028342362,66097064
raytrace,378,0.0358,341.426190476,834912012589,1204834722923,646652063937,244447040716,841572881
swaptions,580,0.054,335.989482759,1277170247920,1458456204847,613924489347,361402521432,150688646
vips,233,0.0219,338.053218884,506403393629,770985463673,204387614153,143861054265,203743614
sleep2,1,0.0001,325.0,1068673,628101,1790,238757,9261
sleep5,4,0.0004,327.375,1069525,606630,1774,256435,10316
sleep10,9,0.0008,326.233333333,1021646,626510,1721,247746,10388
sleep30,29,0.0026,323.475862069,1019901,649767,1785,237688,9336
sleep60,59,0.0052,321.937288136,1037259,618201,1769,229123,9201
blackscholes,437,0.0405,334.313501144,962242554271,759823452448,440248110213,159457388792,129664715
bodytrack,346,0.0323,336.672543353,733724456347,781057881137,405865621890,127240780364,193147096
facesim,0.0,0.0,0.0,16043941,14867195,1688548,4719060,73992
ferret,522,0.0503,347.481417625,1608827613673,1748979636562,508724194111,567547428624,101952537
fluidanimate,649,0.0609,337.980585516,1438777004290,1677905068279,1003486864457,484679953040,21736128
freqmine,848,0.0805,342.425707547,1843800403467,2450061993769,49425812,791415640031,66253490
raytrace,377,0.0358,341.849867374,831780621631,1204809370390,646658574964,245001617881,937017963
swaptions,578,0.0539,336.156747405,1274440983375,1458375779265,613619457154,362297763899,48489018
vips,235,0.0221,338.945106383,497932290315,770623602908,203161466196,144316491452,206477267
sleep2,1,0.0,325.3,1057931,621206,1792,232246,9312
sleep5,4,0.0003,325.0,1061374,617416,1746,221495,9137
sleep10,9,0.0008,324.377777778,956587,609894,1735,237629,9774
sleep30,29,0.0026,323.289655172,1075075,644843,1736,228295,9522
sleep60,59,0.0053,322.161016949,1116455,642621,1733,234232,9589
blackscholes,439,0.0407,333.797266515,978537944311,759853135482,448108538602,159681951945,130110732
bodytrack,345,0.0326,340.417971014,734430891707,781078301944,405901756994,127221390140,214104415
facesim,0.0,0.0,0.0,15865765,14759180,1691132,4682768,73876
400.perlbench,172,0.0164,343.927325581,363205546396,673460255215,198103220,168940598894,448530688
401.bzip2,127,0.0121,341.48503937,280624033346,319812916322,268031,105223223290,6408514
403.gcc,24,0.0023,341.170833333,55270414187,52882913988,501470091,19001587893,137057463
410.bwaves,1930,0.1848,345.140725389,4237316105602,3340156118640,1608974718204,785753595114,86869305
416.gamess,259,0.0247,344.312741313,568989187150,1047126415135,404543004871,212818566730,122987990
429.mcf,996,0.0951,344.20060241,2117183253301,303695508258,4429256,122279702747,42132139
433.milc,616,0.0595,348.169967532,1361085107228,1181353371826,850005142260,211799352223,29960505
434.zeusmp,881,0.0839,343.000908059,1942840268672,1805419511735,1596582662098,407497075587,46809057
435.gromacs,859,0.0813,341.240861467,1891264738863,2160419213985,1734939474915,416863263346,60722123
436.cactusADM,1426,0.1357,343.065287518,3133609562731,2730087227455,2830219681072,649952731741,99446625
437.leslie3d,717,0.0693,348.251324965,1569704929576,1551526352154,1059334560787,321208209593,42223855
444.namd,708,0.0671,341.838700565,1556051397196,2257288024298,1682197205095,466800570445,30132681
445.gobmk,136,0.0129,341.908088235,299407520238,323819168201,1723948132,144389853031,639965759
450.soplex,302,0.0289,345.098675497,643362986038,358494728333,128977762038,102926641824,17581665
453.povray,324,0.0309,343.569135802,713862677233,945909381078,347548355646,279604811656,1312346898
454.calculix,1423,0.1354,342.999508082,3130626046436,6166081367888,3715717501412,1344503685294,201472325
456.hmmer,416,0.0398,345.001201923,915193135250,1878847157364,17603610038,284255339691,30323193
458.sjeng,906,0.0861,342.556622517,1996773046731,2200085290815,1221094,981587003984,455529921
459.GemsFDTD,882,0.0854,349.20521542,1925374860097,1566606447376,1173916753733,280276041570,43114955
462.libquantum,972,0.0941,348.936419753,2096058789720,1856427541448,4331708084,643820893885,35091747
464.h264ref,939,0.0895,343.535463259,2056952424155,2426423692805,1438263416,512591933779,562704357
465.tonto,1571,0.1489,341.581667728,3471179796415,3147373470456,1734083749913,806146473044,1584069489
470.lbm,816,0.079,348.779901961,1797592416770,1261010132344,1219123374595,207620646064,29699997
471.omnetpp,542,0.0518,344.322693727,1156254727500,588222734645,60116420268,201985211961,2200652189
473.astar,423,0.0401,341.430023641,934367239164,815560161952,133140874,361211047283,20556701
481.wrf,0.0,0.0,0.0,593370968,711694385,107167259,154949631,161652
482.sphinx3,1181,0.1107,337.783149873,2595951183221,3349740098022,2190608682991,770495377859,202291716
998.specrand,0.0,0.0,0.0,350025649,563269510,20079782,161604673,1484586
999.specrand,0.0,0.0,0.0,362873259,563235015,20069938,161784725,1479227
